
========== Nova Sessao ==========
Data/Hora: Fri Feb 13 23:39:22 2026
===================================

[23:39:47] Pacote #340: 66 bytes capturados, 66 bytes no fio
[23:39:47] Pacote #341: 678 bytes capturados, 678 bytes no fio
[23:39:47] Pacote #342: 351 bytes capturados, 351 bytes no fio
[23:39:47] Pacote #343: 371 bytes capturados, 371 bytes no fio
[23:39:47] Pacote #344: 230 bytes capturados, 230 bytes no fio
[23:39:47] Pacote #345: 62 bytes capturados, 62 bytes no fio
[23:39:47] Pacote #346: 150 bytes capturados, 150 bytes no fio
[23:39:47] Pacote #347: 46 bytes capturados, 46 bytes no fio
[23:39:47] Pacote #348: 90 bytes capturados, 90 bytes no fio
[23:39:47] Pacote #349: 412 bytes capturados, 412 bytes no fio
[23:39:47] Pacote #350: 432 bytes capturados, 432 bytes no fio
[23:39:47] Pacote #351: 167 bytes capturados, 167 bytes no fio
[23:39:47] Pacote #352: 104 bytes capturados, 104 bytes no fio
[23:39:47] Pacote #353: 124 bytes capturados, 124 bytes no fio
[23:39:47] Pacote #354: 167 bytes capturados, 167 bytes no fio
[23:39:47] Pacote #355: 66 bytes capturados, 66 bytes no fio
[23:39:47] Pacote #356: 213 bytes capturados, 213 bytes no fio
[23:39:47] Pacote #357: 66 bytes capturados, 66 bytes no fio
[23:39:47] Pacote #358: 72 bytes capturados, 72 bytes no fio
[23:39:47] Pacote #359: 111 bytes capturados, 111 bytes no fio
[23:39:47] Pacote #360: 1506 bytes capturados, 1506 bytes no fio
[23:39:47] Pacote #361: 651 bytes capturados, 651 bytes no fio
[23:39:47] Pacote #362: 90 bytes capturados, 90 bytes no fio
[23:39:47] Pacote #363: 150 bytes capturados, 150 bytes no fio
[23:39:47] Pacote #364: 363 bytes capturados, 363 bytes no fio
[23:39:47] Pacote #365: 74 bytes capturados, 74 bytes no fio
[23:39:47] Pacote #366: 74 bytes capturados, 74 bytes no fio
[23:39:47] Pacote #367: 66 bytes capturados, 66 bytes no fio
[23:39:47] Pacote #368: 234 bytes capturados, 234 bytes no fio
[23:39:47] Pacote #369: 66 bytes capturados, 66 bytes no fio
[23:39:47] Pacote #370: 263 bytes capturados, 263 bytes no fio
[23:39:47] Pacote #371: 66 bytes capturados, 66 bytes no fio
[23:39:47] Pacote #372: 1377 bytes capturados, 1377 bytes no fio
[23:39:47] Pacote #373: 66 bytes capturados, 66 bytes no fio
[23:39:47] Pacote #374: 66 bytes capturados, 66 bytes no fio
[23:39:47] Pacote #375: 74 bytes capturados, 74 bytes no fio
[23:39:47] Pacote #376: 74 bytes capturados, 74 bytes no fio
[23:39:47] Pacote #377: 66 bytes capturados, 66 bytes no fio
[23:39:47] Pacote #378: 66 bytes capturados, 66 bytes no fio
[23:39:47] Pacote #379: 66 bytes capturados, 66 bytes no fio
[23:39:47] Pacote #380: 252 bytes capturados, 252 bytes no fio
[23:39:47] Pacote #381: 66 bytes capturados, 66 bytes no fio
